,dots_exten,geometry,lon,lat,Alpha-2 code,Country,Alpha-3 code,Numeric
0,0.164904,POINT (168.7979166666571 -46.58083333900163),168.7979166666571,-46.58083333900163,NZ,New Zealand,NZL,554.0
1,0.124932,POINT (168.34874999999045 -46.44708333475944),168.34874999999045,-46.44708333475944,NZ,New Zealand,NZL,554.0
2,1.21337,POINT (168.33708333332402 -46.41875000142471),168.33708333332402,-46.41875000142471,NZ,New Zealand,NZL,554.0
3,0.121138,POINT (168.02124999999046 -46.357916668088365),168.02124999999046,-46.357916668088365,NZ,New Zealand,NZL,554.0
4,0.197533,POINT (169.81124999999054 -46.3437500014208),169.81124999999054,-46.3437500014208,NZ,New Zealand,NZL,554.0
5,0.179718,POINT (170.1970833333237 -46.05291666807267),170.1970833333237,-46.05291666807267,NZ,New Zealand,NZL,554.0
6,0.382871,POINT (170.3920833333234 -45.92875000139975),170.3920833333234,-45.92875000139975,NZ,New Zealand,NZL,554.0
7,0.144652,POINT (170.50958333332358 -45.888750001397625),170.50958333332358,-45.888750001397625,NZ,New Zealand,NZL,554.0
8,0.593496,POINT (170.51708333332385 -45.875416668063735),170.51708333332385,-45.875416668063735,NZ,New Zealand,NZL,554.0
9,0.236202,POINT (171.25958333332346 -44.42166667191185),171.25958333332346,-44.42166667191185,NZ,New Zealand,NZL,554.0
10,0.102279,POINT (171.25708333332352 -44.36125000132256),171.25708333332352,-44.36125000132256,NZ,New Zealand,NZL,554.0
11,0.129572,POINT (171.350416666657 -44.28125000131877),171.350416666657,-44.28125000131877,NZ,New Zealand,NZL,554.0
12,0.376397,POINT (172.3787499999903 -43.85625000129852),172.3787499999903,-43.85625000129852,NZ,New Zealand,NZL,554.0
13,2.26848,POINT (172.75041666665675 -43.5512500012843),172.75041666665675,-43.5512500012843,NZ,New Zealand,NZL,554.0
14,2.85002,POINT (172.72458333332338 -43.48791666794807),172.72458333332338,-43.48791666794807,NZ,New Zealand,NZL,554.0
15,0.503895,POINT (172.70708333332357 -43.391250001276774),172.70708333332357,-43.391250001276774,NZ,New Zealand,NZL,554.0
16,0.207065,POINT (147.33791666665775 -42.88375000125353),147.33791666665775,-42.88375000125353,AU,Australia,AUS,36.0
17,0.10896,POINT (147.45791666665787 -42.77791666791535),147.45791666665787,-42.77791666791535,AU,Australia,AUS,36.0
18,0.499766,POINT (171.19208333332335 -42.43875000123336),171.19208333332335,-42.43875000123336,NZ,New Zealand,NZL,554.0
19,0.362587,POINT (174.06208333332324 -41.50125000119209),174.06208333332324,-41.50125000119209,NZ,New Zealand,NZL,554.0
20,0.446126,POINT (174.88541666665674 -41.41124999444696),174.88541666665674,-41.41124999444696,NZ,New Zealand,NZL,554.0
